Entity,Code,Year,Happiness: Happy (aggregate)
Albania,ALB,1998,33.43343
Albania,ALB,2004,58.8
Albania,ALB,2010,66.85212
Albania,ALB,2022,73.9271
Algeria,DZA,2004,80.73323
Algeria,DZA,2014,75.5
Andorra,AND,2010,92.52583
Andorra,AND,2022,95.01992
Argentina,ARG,1984,77.01783
Argentina,ARG,1993,76.34731
Argentina,ARG,1998,81.5944
Argentina,ARG,2004,81.37083
Argentina,ARG,2010,87.6046
Argentina,ARG,2014,86.44928
Argentina,ARG,2022,85.70853
Armenia,ARM,1998,54.8
Armenia,ARM,2010,75.88392
Armenia,ARM,2014,82.00644
Armenia,ARM,2022,85.49175
Australia,AUS,1984,94.73932
Australia,AUS,1998,94.26124
Australia,AUS,2010,91.50835
Australia,AUS,2014,92.57456
Australia,AUS,2022,89.58137
Austria,AUT,1993,85.8064
Austria,AUT,2004,89.53736
Austria,AUT,2010,87.91252
Austria,AUT,2022,89.06489
Azerbaijan,AZE,1998,76.62337
Azerbaijan,AZE,2014,80.63264
Azerbaijan,AZE,2022,79.91089
Bangladesh,BGD,1998,84.72131
Bangladesh,BGD,2004,77.4
Bangladesh,BGD,2022,90.66667
Belarus,BLR,1993,43.84236
Belarus,BLR,1998,44.88528
Belarus,BLR,2004,61.9
Belarus,BLR,2010,75.76498
Belarus,BLR,2014,63.72472
Belarus,BLR,2022,88.54685
Belgium,BEL,1984,88.16196
Belgium,BEL,1993,89.69501
Belgium,BEL,2004,92.04511
Belgium,BEL,2010,94.34523
Bolivia,BOL,2022,73.00436
Bosnia and Herzegovina,BIH,1998,74.91666
Bosnia and Herzegovina,BIH,2004,81.83334
Bosnia and Herzegovina,BIH,2010,85.70629
Bosnia and Herzegovina,BIH,2022,87.04503
Brazil,BRA,1993,75.47923
Brazil,BRA,1998,82.93963
Brazil,BRA,2010,90.36794
Brazil,BRA,2014,91.9623
Brazil,BRA,2022,89.20344
Bulgaria,BGR,1993,35.39652
Bulgaria,BGR,1998,55.50373
