"Country or Area","Year","Value","Value Footnotes"
"Albania","2020","0","1"
"Albania","2019","0","1"
"Albania","2018","0","1"
"Albania","2017","0","1"
"Albania","2016","0","1"
"Albania","2015","0","1"
"Albania","2014","0.1","1"
"Albania","2012","0.1","2"
"Albania","2008","0","2"
"Albania","2005","0.1","2"
"Albania","2002","0.2","2"
"Albania","1996","0.1","3"
"Algeria","2011","0.2","4"
"Algeria","1995","1.1","5"
"Algeria","1988","0.9","6"
"Angola","2018","11.9","7"
"Angola","2008","4.1","8"
"Angola","2000","9.1","1"
"Argentina","2021","0.4","9"
"Argentina","2020","0.3","9"
"Argentina","2019","0.3","9"
"Argentina","2018","0.3","9"
"Argentina","2017","0.2","9"
"Argentina","2016","0.3","9"
"Argentina","2014","0.3","9"
"Argentina","2013","0.3","9"
"Argentina","2012","0.3","9"
"Argentina","2011","0.3","9"
"Argentina","2010","0.3","9"
"Argentina","2009","0.5","9"
"Argentina","2008","0.6","9"
"Argentina","2007","0.7","9"
"Argentina","2006","0.8","9"
"Argentina","2005","0.9","9"
"Argentina","2004","1.3","9"
"Argentina","2003","1.9","9"
"Argentina","2002","4.9","10"
"Argentina","2001","4.5","10"
"Argentina","2000","2.7","10"
"Argentina","1999","2.4","10"
"Argentina","1998","2.1","10"
"Argentina","1997","2.2","10"
"Argentina","1996","2.7","10"
"Argentina","1995","2.2","10"
"Argentina","1994","1.4","10"
"Argentina","1993","1.2","10"
"Argentina","1992","1.1","10"
"Argentina","1991","0.6","10"
"Argentina","1987","0.9","10"
"Argentina","1986","1.1","10"
"Argentina","1980","0.2","11"
"Armenia","2021","0.1","12"
"Armenia","2020","0.1","12"
"Armenia","2019","0.1","12"
"Armenia","2018","0.2","12"
"Armenia","2017","0.1","12"
"Armenia","2016","0.2","12"
"Armenia","2015","0.2","12"
"Armenia","2014","0.2","12"
"Armenia","2013","0.3","12"
"Armenia","2012","0.2","12"
"Armenia","2011","0.2","12"
"Armenia","2010","0.2","12"
"Armenia","2009","0.2","12"
"Armenia","2008","0.2","12"
"Armenia","2007","0.3","12"
"Armenia","2006","0.3","12"
"Armenia","2005","0.6","12"
"Armenia","2004","1.2","12"
"Armenia","2003","1.2","12"
"Armenia","2002","2.1","12"
"Armenia","2001","3","12"
"Armenia","1999","2.8","12"
"Australia","2018","0.4","13"
"Australia","2016","0.3","14"
"Australia","2014","0.4","13"
"Australia","2010","0.3","14"
"Australia","2008","0.3","13"
"Australia","2004","0.4","14"
"Australia","2003","0.8","13"
"Australia","2001","0.6","13"
"Australia","1995","0.6","13"
"Australia","1989","0.5","15"
"Australia","1985","0.6","16"
"Australia","1981","0.5","17"
"Austria","2020","0.6","18"
"Austria","2019","0.5","18"
"Austria","2018","0.5","18"
"Austria","2017","0.2","18"
"Austria","2016","0.6","18"
"Austria","2015","0.6","18"
"Austria","2014","0.1","18"
"Austria","2013","0.2","18"
"Austria","2012","0.4","18"
"Austria","2011","0.3","18"
"Austria","2010","0.4","18"
"Austria","2009","0.5","18"
"Austria","2008","0.2","18"
"Austria","2007","0.3","18"
"Austria","2006","0","18"
"Austria","2005","0.1","18"
"Austria","2004","0.1","18"
"Austria","2003","0.3","18"
"Austria","2000","0","19"
"Austria","1999","0.1","19"
"Austria","1998","0","19"
"Austria","1997","0","19"
"Austria","1996","0","19"
"Austria","1995","0","20"
"Austria","1994","0.1","19"
"Azerbaijan","2005","0","1"
"Azerbaijan","2004","0","1"
"Azerbaijan","2003","0","1"
"Azerbaijan","2002","0","1"
"Azerbaijan","2001","1.1","1"
"Azerbaijan","1995","3.5","21"
"Bangladesh","2022","1.7","22"
"Bangladesh","2016","2.4","22"
"Bangladesh","2010","3.2","22"
"Bangladesh","2005","4.6","22"
"Bangladesh","2000","7.3","22"
"Bangladesh","1995","7.5","23"
"Bangladesh","1991","10.5","23"
"Bangladesh","1988","10.4","24"
"Bangladesh","1985","6.8","24"
"Bangladesh","1983","9.3","24"
"Belarus","2020","0","25"
"Belarus","2019","0","25"
"Belarus","2018","0","25"
"Belarus","2017","0","25"
"Belarus","2016","0","25"
"Belarus","2015","0","25"
"Belarus","2014","0","25"
"Belarus","2013","0","25"
"Belarus","2012","0","25"
"Belarus","2011","0","25"
"Belarus","2010","0","25"
"Belarus","2009","0","25"
"Belarus","2008","0","25"
"Belarus","2007","0","25"
"Belarus","2006","0.1","25"
"Belarus","2005","0.2","25"
"Belarus","2004","0.2","25"
"Belarus","2003","0.8","25"
"Belarus","2002","1","25"
"Belarus","2001","1.5","25"
"Belarus","2000","3.5","25"
"Belarus","1999","5.2","25"
"Belarus","1998","5.6","25"
"Belgium","2020","0","18"
"Belgium","2019","0.1","18"
"Belgium","2018","0.1","18"
"Belgium","2017","0.1","18"
"Belgium","2016","0.1","18"
"Belgium","2015","0.1","18"
"Belgium","2014","0.1","18"
"Belgium","2013","0.1","18"
"Belgium","2012","0.1","18"
"Belgium","2011","0.1","18"
"Belgium","2010","0.1","18"
"Belgium","2009","0.1","18"
"Belgium","2008","0.1","18"
"Belgium","2007","0.1","18"
"Belgium","2006","0.1","18"
"Belgium","2005","0.1","18"
"Belgium","2004","0","18"
"Belgium","2003","0.2","18"
"Belgium","2000","0.3","26"
"Belgium","1997","0.3","27"
"Belgium","1995","0.4","26"
"Belgium","1992","0.8","27"
"Belgium","1988","0.5","27"
"Belgium","1985","0.2","27"
"Belize","1999","8.4","28"
"Belize","1998","8.1","28"
"Belize","1997","9.6","28"
"Belize","1996","7.3","29"
"Belize","1994","5.8","28"
"Belize","1993","6.2","28"
"Benin","2018","4.8","30"
"Benin","2015","23","31"
"Benin","2011","19.8","31"
"Benin","2003","18.2","32"
"Bhutan","2022","0","33"
"Bhutan","2017","0.2","33"
"Bhutan","2012","0.3","33"
"Bhutan","2007","1.1","33"
"Bhutan","2003","2.3","33"
"Bolivia","2021","0.6","34"
"Bolivia","2020","0.8","34"
"Bolivia","2019","0.6","34"
"Bolivia","2018","1.3","34"
"Bolivia","2017","2.1","34"
"Bolivia","2016","2.6","34"
"Bolivia","2015","2.1","34"
"Bolivia","2014","1.9","34"
"Bolivia","2013","2.3","34"
"Bolivia","2012","3","34"
"Bolivia","2011","2.2","34"
"Bolivia","2009","3.8","34"
"Bolivia","2008","3.8","34"
"Bolivia","2007","4.6","34"
"Bolivia","2006","6.3","34"
"Bolivia","2005","7.9","34"
"Bolivia","2004","4.4","35"
"Bolivia","2002","11","34"
"Bolivia","2001","10","34"
"Bolivia","2000","15.1","35"
"Bolivia","1999","13.1","35"
"Bolivia","1997","8","36"
"Bosnia and Herzegovina","2011","0","1"
"Bosnia and Herzegovina","2007","0","1"
"Bosnia and Herzegovina","2004","0.1","2"
"Bosnia and Herzegovina","2001","0.1","2"
"Botswana","2015","4.1","37"
"Botswana","2009","5.5","38"
"Botswana","2002","11.1","22"
"Botswana","1993","13.1","39"
"Botswana","1985","17.4","39"
"Brazil","2021","2.1","40"
"Brazil","2020","0.7","40"
"Brazil","2019","2.1","41"
"Brazil","2018","2","41"
"Brazil","2017","2","41"
"Brazil","2016","1.7","41"
"Brazil","2015","1.3","41"
"Brazil","2014","1.1","41"
"Brazil","2013","1.3","41"
"Brazil","2012","1.7","41"
"Brazil","2011","2.2","42"
"Brazil","2009","2.4","42"
"Brazil","2008","2.5","42"
"Brazil","2007","3.2","42"
"Brazil","2006","3.1","42"
"Brazil","2005","3.7","42"
"Brazil","2004","4.2","42"
"Brazil","2003","4.9","42"
"Brazil","2002","4.4","42"
"Brazil","2001","5.2","42"
"Brazil","1999","6.1","42"
"Brazil","1998","5.9","42"
"Brazil","1997","6.7","42"
"Brazil","1996","6.8","42"
"Brazil","1995","6","42"
"Brazil","1993","9.6","42"
"Brazil","1992","10.2","42"
"Brazil","1990","9.9","42"
"Brazil","1989","8.7","42"
"Brazil","1988","9.6","42"
